filename,xmin,ymin,xmax,ymax,class
004163.jpg,63.488,50.432,90.88,80.896,tvmonitor
004186.jpg,2.304,40.32,102.912,112,bus
004186.jpg,0.512,22.4,68.096,79.488,bus
004186.jpg,71.936,25.984,93.184,37.504,car
004186.jpg,89.856,18.816,105.472,27.52,car
004186.jpg,93.696,23.424,113.152,34.944,car
004186.jpg,113.152,24.192,128,39.808,car
004186.jpg,60.16,19.84,74.496,27.776,car
004186.jpg,75.776,16.512,89.856,22.4,car
009252.jpg,10.24,67.9485094850949,128,111,sofa
009252.jpg,83.2,24.3875338753388,108.288,56.4850948509485,pottedplant
009252.jpg,60.16,55.2113821138211,65.536,71.5149051490515,chair
009252.jpg,39.424,56.230352303523,56.576,73.0433604336043,chair
009221.jpg,14.592,38.0915915915916,107.776,92.2057057057057,cat
000695.jpg,27.904,48.256,106.24,109.696,horse
000695.jpg,56.32,26.24,73.216,83.584,person
000695.jpg,113.408,56.704,128,88.448,horse
000695.jpg,44.544,43.648,84.992,56.448,horse
000695.jpg,120.576,40.064,128,64.384,person
002407.jpg,27.008,4.096,92.8,126.72,cat
000996.jpg,100.608,53.376,123.392,74.112,chair
000996.jpg,78.848,54.144,96.512,68.48,chair
000996.jpg,62.464,53.376,73.984,63.36,chair
000996.jpg,50.176,51.328,60.672,61.312,chair
000996.jpg,35.584,70.784,77.568,112,chair
000996.jpg,7.168,70.016,42.752,111.488,chair
000996.jpg,0.256,70.528,19.456,98.688,chair
000996.jpg,20.992,40.832,36.352,58.752,chair
000996.jpg,1.28,56.192,128,112,diningtable
000996.jpg,4.864,17.536,23.808,60.8,person
004799.jpg,36.0630498533724,28.416,104.183284457478,121.344,bird
008784.jpg,122.624,67.8358778625954,128,73.7175572519084,car
008784.jpg,109.824,66.0458015267176,123.904,73.4618320610687,car
008784.jpg,105.472,67.8358778625954,113.664,73.4618320610687,car
008784.jpg,98.048,67.324427480916,104.704,73.206106870229,car
008784.jpg,77.056,66.3015267175573,86.528,72.6946564885496,car
008784.jpg,51.2,66.3015267175573,60.16,73.9732824427481,car
008784.jpg,38.4,66.3015267175573,49.664,73.7175572519084,car
008784.jpg,28.16,66.5572519083969,37.376,75.2519083969466,car
008784.jpg,11.264,66.5572519083969,23.808,74.4847328244275,car
008784.jpg,0.512,67.324427480916,10.24,73.7175572519084,car
008784.jpg,86.272,70.1374045801527,90.88,78.8320610687023,boat
008784.jpg,68.352,69.881679389313,73.984,79.8549618320611,boat
008784.jpg,62.72,70.9045801526718,67.84,80.3664122137405,boat
008784.jpg,59.136,69.881679389313,64.512,82.1564885496183,boat
008784.jpg,50.944,69.881679389313,56.32,79.8549618320611,boat
008784.jpg,37.376,70.3931297709924,43.776,79.8549618320611,boat
